Metric	Group 1	Group 2	Sample size	Permutations	pseudo-F	p-value	q-value
weighted UniFrac	Controls:No-PMA	Controls:PMA	35	999	1.0644647687659552	0.36200000000000004	0.36200000000000004
weighted UniFrac	Controls:No-PMA	Rooms:No-PMA	120	999	26.010102475346642	0.001	0.002
weighted UniFrac	Controls:No-PMA	Rooms:PMA	119	999	1.3290642222033242	0.18899999999999997	0.28350000000000003
weighted UniFrac	Controls:PMA	Rooms:No-PMA	111	999	18.67023539045727	0.001	0.002
weighted UniFrac	Controls:PMA	Rooms:PMA	110	999	0.9827201966136482	0.325	0.36200000000000004
weighted UniFrac	Rooms:No-PMA	Rooms:PMA	195	999	78.5106810791985	0.001	0.002
unweighted UniFrac	Controls:No-PMA	Controls:PMA	35	999	1.1152839521095508	0.26899999999999996	0.26899999999999996
unweighted UniFrac	Controls:No-PMA	Rooms:No-PMA	120	999	16.56985141378635	0.001	0.002
unweighted UniFrac	Controls:No-PMA	Rooms:PMA	119	999	1.231520632678551	0.138	0.1656
unweighted UniFrac	Controls:PMA	Rooms:No-PMA	111	999	13.137583991658314	0.001	0.002
unweighted UniFrac	Controls:PMA	Rooms:PMA	110	999	1.4915173001966056	0.055999999999999994	0.084
unweighted UniFrac	Rooms:No-PMA	Rooms:PMA	195	999	42.88585119406753	0.001	0.002
Aitchison	Controls:No-PMA	Controls:PMA	35	999	0.1764978469267576	0.9	0.9
Aitchison	Controls:No-PMA	Rooms:No-PMA	120	999	36.7054027921938	0.001	0.002
Aitchison	Controls:No-PMA	Rooms:PMA	119	999	0.7066192759314028	0.462	0.6930000000000001
Aitchison	Controls:PMA	Rooms:No-PMA	111	999	25.111286045282103	0.001	0.002
Aitchison	Controls:PMA	Rooms:PMA	110	999	0.4200777234849448	0.6459999999999999	0.7752
Aitchison	Rooms:No-PMA	Rooms:PMA	195	999	79.15827707896436	0.001	0.002
